RSOname,department,expTimeComm,taggedPref
Association for Quantitative Trading Education,Business,5-10 hours,Professional
Association of Food Technologists,Agricultural Sciences,5-10 hours,General
Association of Minorities in Political Science,Miscellaneous,5-10 hours,General
Association of Minority Mental Health Practitioners,Kinesiology,3-5 hours,Health
Association of The Liberal Arts and Sciences,Miscellaneous,3-5 hours,General
Astrobiology Club,Biology,10+ hours,Science
Astronomical Society at the University of Illinois at Urbana-Champaign,Biology,10+ hours,Science
AWS Cloud Club - UIUC,Information Sciences,3-5 hours,Science
AxisMED,Kinesiology,3-5 hours,Health
Azerbaijan Student Association at UIUC,Miscellaneous,10+ hours,Cultural
Badmaash Company,Miscellaneous,10+ hours,Cultural
Badminton For Fun,Miscellaneous,5-10 hours,General
Ballet Folklorico Mitotiani,Fine Arts,3-5 hours,Arts
Balloon Design at Illinois,Miscellaneous,10+ hours,Social
Baltic Club,Miscellaneous,3-5 hours,General
Bangladeshi Students Association,Miscellaneous,3-5 hours,General
Bankruptcy Law Society,Law,3-5 hours,General
Baptist Campus Ministries,Miscellaneous,10+ hours,General
Baptist Chinese Campus Ministries,Miscellaneous,5-10 hours,General
Bar None,Law,10+ hours,General
Beekeeping Club at UIUC,Miscellaneous,5-10 hours,General
Bengali Students Organization ( UIUC ) - Abol Tabol,Miscellaneous,3-5 hours,Cultural
Best Buddies International,Miscellaneous,1-3 hours,General
Beta Alpha Psi,Business,3-5 hours,Professional
"Beta Chi Theta Fraternity, Inc.",Miscellaneous,5-10 hours,Social
Beta Psi Omega,Biology,10+ hours,Science
Beta Sigma Psi,Miscellaneous,5-10 hours,Service
Beta Theta Pi Fraternity,Miscellaneous,10+ hours,Social
Bilingual Organization for SHS Students,Miscellaneous,10+ hours,General
Biomedical Engineering Journal CLub,Computer Science,3-5 hours,Tech
Biomedical Engineering Society,Computer Science,1-3 hours,Tech
Bioscience Journal Club,Biology,5-10 hours,Science
Black Association of Psychology Students,Kinesiology,10+ hours,Health
Black Business Network,Business,10+ hours,Professional
Black Chorus at the University of Illinois,Miscellaneous,1-3 hours,Cultural
Black Graduate Student Association,Miscellaneous,10+ hours,Cultural
Black Greek Council,Miscellaneous,10+ hours,General
Black Law Students Association,Law,10+ hours,General
Black Muslim Association,Miscellaneous,1-3 hours,General
Black Queer Collective at UIUC,Miscellaneous,3-5 hours,General
"Black, Indigenous, and Latinx in Tech - B [ U ] ILT",Computer Science,3-5 hours,Tech
BLNKD,Media,10+ hours,Media
Blood Club,Miscellaneous,10+ hours,Service
Brain Matters,Kinesiology,10+ hours,Health
Brave New Midnight,Miscellaneous,3-5 hours,Social
Bridges International,Miscellaneous,1-3 hours,General
BuildIllinois,Computer Science,10+ hours,Tech
Building Research Insights and Developing General Education,Miscellaneous,5-10 hours,Service
Burden Shifters: The University of Illinois College of Law Strength and Conditioning Club,Miscellaneous,1-3 hours,General
Business Council,Business,1-3 hours,Professional
C-U Cinefile,Media,5-10 hours,Media
Caer Gwyn,Miscellaneous,3-5 hours,Social
Calisthenics Club,Miscellaneous,1-3 hours,General
Camp Kesem at University of Illinois,Miscellaneous,3-5 hours,Service
Campus Sanskrit Network,Miscellaneous,3-5 hours,General
Campus Union for Trans Equality and Support,Miscellaneous,3-5 hours,General
Cancer Center at Illinois Student Organization,Miscellaneous,3-5 hours,General
"Cancer Health Advocacy, Research, and Mentorship at UIUC",Biology,5-10 hours,Science
Capoeira Club at UIUC,Miscellaneous,10+ hours,General
Caring Companions Initiative,Miscellaneous,5-10 hours,Service
Catholic Illini Association,Miscellaneous,3-5 hours,General
Catholic Relief Services at the University of Illinois,Miscellaneous,3-5 hours,General
Central American Student Association,Miscellaneous,5-10 hours,Cultural
Central Asian Association,Miscellaneous,1-3 hours,Service
Cereal Enthusiasts Society,Miscellaneous,10+ hours,Service
Chabad Jewish Student Association,Miscellaneous,3-5 hours,Service
Chai Town,Fine Arts,5-10 hours,Arts
Champaign-Urbana Business and Engineering Consulting,Business,1-3 hours,Professional
Champaign-Urbana Trickers,Miscellaneous,10+ hours,General
Change Ringers of Urbana-Champaign,Fine Arts,1-3 hours,Arts
Character Creation Hub,Media,3-5 hours,Media
Charity: Water University of Illinois,Miscellaneous,1-3 hours,General
Cheese Club At UIUC,Miscellaneous,3-5 hours,Cultural
Chi Epsilon Civil Engineering Honor Society,Miscellaneous,5-10 hours,General
Chi Omega,Miscellaneous,5-10 hours,Service
Chi Psi Fraternity,Miscellaneous,5-10 hours,Social
"Chi Sigma Tau National Fraternity, Inc.",Miscellaneous,3-5 hours,Service
Child Life Association,Miscellaneous,3-5 hours,Service
Chinese Business Student Association,Business,1-3 hours,Professional
Chinese Engineering Students Association ( CESA ),Miscellaneous,5-10 hours,Cultural
Chinese Language Association for International Development,Miscellaneous,3-5 hours,Cultural
Chinese Students and Scholars Association,Miscellaneous,3-5 hours,Cultural
Chinese Theatre Group,Fine Arts,5-10 hours,Arts
CHOOM,Miscellaneous,5-10 hours,General
Christ Community,Miscellaneous,10+ hours,General
Christian Law Students Association,Miscellaneous,1-3 hours,General
Christian Literature Club,Miscellaneous,1-3 hours,General
Christians on Campus,Miscellaneous,1-3 hours,General
Circassian Benevolent Student Association,Miscellaneous,10+ hours,Cultural
Circle K International-UIUC Chapter,Miscellaneous,1-3 hours,Service
Circular Fashion Expo ( CFE ),Environmental Science,5-10 hours,General
Climate and Meteorological Association of Students,Miscellaneous,10+ hours,Social
Climbing Club at UIUC,Miscellaneous,1-3 hours,General
Club Insecta,Miscellaneous,5-10 hours,Service
Club Pickleball at the University of Illinois,Miscellaneous,3-5 hours,General
Club Tennis,Miscellaneous,1-3 hours,General
Clubs Communities,Business,10+ hours,Professional
Codable,Information Sciences,5-10 hours,Science
CodeCat,Miscellaneous,1-3 hours,Service
CodeRed,Miscellaneous,3-5 hours,General
College of Law Labor and Employment Law Society at the University of Illinois,Miscellaneous,10+ hours,General
College of Nursing at Urbana Urban Health Program,Biology,1-3 hours,Science
College of Nursing Student Council at UIC Urbana,Miscellaneous,3-5 hours,General
College Republicans at UIUC,Miscellaneous,10+ hours,General
Collegiate 4-H,Miscellaneous,10+ hours,Service
Collegiate Academy,Miscellaneous,3-5 hours,Service
Combat Robotics,Miscellaneous,10+ hours,General
Competitive Super Smash Bros. Club,Miscellaneous,1-3 hours,Social
Competitive Taekwondo Club,Miscellaneous,3-5 hours,General
Conch Shell Mental Support,Kinesiology,5-10 hours,Health
Concrete Canoe at UIUC,Computer Science,5-10 hours,Tech
Coptic Orthodox Christian Fellowship,Miscellaneous,5-10 hours,General
Cornerstone Christian Student Fellowship,Miscellaneous,3-5 hours,General
CornTV,Media,1-3 hours,Media
Corporate and Business Law Association,Law,10+ hours,General
Cosmetic Chemistry Club,Biology,1-3 hours,Science
Cosplay Design League,Media,3-5 hours,Media
Covenant Fellowship,Miscellaneous,1-3 hours,General
Cover 2 Cover,Miscellaneous,1-3 hours,Service
Creative Writing Club,Media,10+ hours,Media
Creators of Color Association,Miscellaneous,10+ hours,Cultural
Cricket Club of Illinois,Miscellaneous,1-3 hours,General
Criminal Law Society,Law,3-5 hours,General
Crisis Nursery Student Initiative,Miscellaneous,5-10 hours,General
Crop Sciences Graduate Student Organization,Agricultural Sciences,10+ hours,General
Cross Country Club,Miscellaneous,1-3 hours,General
Crossway,Miscellaneous,1-3 hours,General
Cru,Miscellaneous,5-10 hours,General
Crumbl Club,Miscellaneous,10+ hours,Social
CSC,Miscellaneous,1-3 hours,General
Dance2XS at UIUC,Miscellaneous,5-10 hours,General
Dance2XS Caliente,Fine Arts,1-3 hours,Arts
Dancing Illini,Miscellaneous,1-3 hours,Social
Data Science and Artificial Intelligence Society,Computer Science,5-10 hours,Tech
DDRIllini,Miscellaneous,5-10 hours,General
Deckonomics,Psychology,1-3 hours,Science
DeepRanjani UIUC Chapter,Miscellaneous,10+ hours,General
Delta Chi Fraternity,Miscellaneous,10+ hours,Service
Delta Delta Delta Sorority,Miscellaneous,5-10 hours,Service
Delta Delta Sigma,Miscellaneous,5-10 hours,General
Delta Gamma Sorority,Miscellaneous,10+ hours,Service
"Delta Kappa Delta Sorority, Inc.",Miscellaneous,5-10 hours,Service
"Delta Phi Omega Sorority, Inc.",Miscellaneous,5-10 hours,Service
"Delta Sigma Theta Sorority, Inc Alpha Nu Chapter",Miscellaneous,3-5 hours,Service
Delta Upsilon,Miscellaneous,5-10 hours,Service
Delta Zeta,Miscellaneous,5-10 hours,Service
Department of Chemical and Biomolecular Engineering Graduate Student Advisory Council University of Illinois at Urbana Champaign,Computer Science,5-10 hours,Tech
Department of Student Engagement,Miscellaneous,1-3 hours,General
Design Build Fly,Computer Science,1-3 hours,Tech
Design For America at UIUC,Miscellaneous,10+ hours,Service
Design Innovation Illinois,Information Sciences,3-5 hours,Science
Design Movement,Miscellaneous,10+ hours,General
Destino,Miscellaneous,5-10 hours,General
Deutschklub at Illinois,Miscellaneous,3-5 hours,Cultural
Dheem,Miscellaneous,5-10 hours,General
Disabilities United in Urbana-Champaign,Miscellaneous,10+ hours,General
Disability Law Society,Miscellaneous,3-5 hours,General
Divergence 2% Laboratory,Business,3-5 hours,Professional
Diverse Curlz,Miscellaneous,10+ hours,Cultural
Divine Youth Associates,Miscellaneous,10+ hours,General
DIY Illini,Education,5-10 hours,General
Doctors Without Borders at The University of Illinois Urbana-Champaign,Kinesiology,10+ hours,Health
Documentary Club at UIUC,Miscellaneous,5-10 hours,Cultural
Double Helix Digest,Biology,3-5 hours,Science
DYP ( Do Your Part ),Miscellaneous,3-5 hours,General
E-Somniacs,Miscellaneous,1-3 hours,General
Earthquake Engineering Research Institute,Miscellaneous,5-10 hours,General
East African Community Club,Miscellaneous,1-3 hours,Cultural
Eastern European Illini,Miscellaneous,5-10 hours,Cultural
Ecclesia,Miscellaneous,10+ hours,General
Eco Illini Supermileage,Environmental Science,3-5 hours,General
Economics Club,Education,1-3 hours,General
Economics Graduate Student Organization,Education,3-5 hours,General
Economics Tournament at the University of Illinois,Education,3-5 hours,General
Ecuadorian Student Association,Miscellaneous,3-5 hours,Cultural
Education And Training For Health,Miscellaneous,3-5 hours,General
Effective Altruism Chapter at University of Illinois Urbana-Champaign,Miscellaneous,5-10 hours,General
Egyptian Student Association,Miscellaneous,5-10 hours,Cultural
Electric Propulsion Initiative,Computer Science,10+ hours,Tech
Electronic Music Club,Education,10+ hours,General
Elevate Campus Ministry,Miscellaneous,5-10 hours,General
Elohist Bible Study Club,Miscellaneous,3-5 hours,Service
Emergency Management at UIUC,Miscellaneous,3-5 hours,Service
Empowering Minorities and Building Representation Across Civil and Environmental Engineering ( EMBRACE ),Environmental Science,5-10 hours,General
Enactus,Miscellaneous,1-3 hours,General
Energy and Environmental Law Society,Miscellaneous,10+ hours,Cultural
Engineering Council,Miscellaneous,5-10 hours,Service
Engineering Outreach Society,Miscellaneous,1-3 hours,Service
Engineering Student Alumni Ambassadors,Computer Science,3-5 hours,Tech
Engineers in Action Bridge Program,Miscellaneous,5-10 hours,Service
"Engineers Without Borders, UIUC Chapter",Miscellaneous,5-10 hours,Service
English Corner,Miscellaneous,10+ hours,Cultural
English Student Association,Miscellaneous,5-10 hours,General
Epsilon Delta Professional Teaching Organization,Miscellaneous,3-5 hours,General
Equity Research Association,Business,1-3 hours,Professional
Esperanto @ UIUC,Miscellaneous,3-5 hours,Cultural
Eta Kappa Nu Electrical and Computer Engineering Society,Miscellaneous,10+ hours,Service
Euchre League,Miscellaneous,10+ hours,Social
Evangelical Christian Union,Miscellaneous,5-10 hours,General
Evexía,Kinesiology,3-5 hours,Health
Exploration Robotics at University of Illinois,Computer Science,10+ hours,Tech
FACES Consulting,Business,5-10 hours,Professional
Falling Illini Skydiving,Miscellaneous,10+ hours,General
FarmHouse Fraternity,Agricultural Sciences,10+ hours,General
Federalist Society for Law and Public Policy Studies,Miscellaneous,1-3 hours,Social
Fencing Illini,Miscellaneous,1-3 hours,General
Field and Furrow Agronomy Club,Agricultural Sciences,10+ hours,General
FIFA 25 Soccer Club @UIUC,Miscellaneous,5-10 hours,General
Film Score Orchestra ( FSO ),Fine Arts,5-10 hours,Arts
Film Scoring at UIUC,Media,3-5 hours,Media
Financial Audit Club,Business,1-3 hours,Professional
Financial Engineering Club,Business,1-3 hours,Professional
FinTech Student Society,Business,5-10 hours,Professional
Fizaa,Miscellaneous,10+ hours,Cultural
Flashpoint Photography Club,Media,3-5 hours,Media
Flippin’ Illini Gymnastics Club,Miscellaneous,5-10 hours,General
Floor Lovers Illinois,Miscellaneous,1-3 hours,General
Flying Illini Booster Club,Miscellaneous,3-5 hours,General
Food Science and Human Nutrition Graduate Student Association,Agricultural Sciences,5-10 hours,General
Forging Unity Solidarity and Equity for QTPOC,Miscellaneous,10+ hours,Cultural
Formosa Volleyball Enthusiasts,Miscellaneous,3-5 hours,General
Foundation for International Medical Relief of Children - UIUC Chapter,Miscellaneous,5-10 hours,Service
Founders - Illinois Entrepreneurs,Miscellaneous,10+ hours,General
French Club,Miscellaneous,5-10 hours,Cultural
Fulbright Student Association,Miscellaneous,10+ hours,Cultural
Future Health Care Executives,Business,10+ hours,Professional
Future Leaders of STEM,Miscellaneous,3-5 hours,General
Futures and Options Society ( FOS ),Business,10+ hours,Professional
Gaga Ball Club,Miscellaneous,5-10 hours,General
Gah Rahk Mah Dahng,Miscellaneous,10+ hours,General
Game Night,Miscellaneous,3-5 hours,Social
Game Theory Optimal Illini,Miscellaneous,3-5 hours,Social
Gamma Iota Sigma,Education,3-5 hours,General
Gamma Phi Beta Sorority,Miscellaneous,3-5 hours,Service
"Gamma Phi Omega International Sorority, Inc.",Miscellaneous,1-3 hours,Cultural
Gargoyles Honors Society,Miscellaneous,10+ hours,General
Gastro Health Foundation at UIUC,Miscellaneous,1-3 hours,General
Gender and Sexuality Resource Center ( GSRC ),Miscellaneous,3-5 hours,General
Gender and Women’s Studies RSO,Miscellaneous,5-10 hours,Cultural
GeoClub,Environmental Science,10+ hours,General
Geography Graduate Student Association,Environmental Science,3-5 hours,General
Geometry Lab Undergrad Outreach,Miscellaneous,3-5 hours,General
Geotechnical Engineering Student Organization,Computer Science,1-3 hours,Tech
Ghost Electric Motorcycles,Computer Science,10+ hours,Tech
Ghungroo Dance Company,Miscellaneous,5-10 hours,Cultural
Gies Capital Association,Business,3-5 hours,Professional
Gift of Life UIUC,Kinesiology,5-10 hours,Health
Girl Gains at UIUC,Miscellaneous,5-10 hours,General
Girl Up UIUC,Miscellaneous,10+ hours,General
Girls Next Door A Cappella,Fine Arts,1-3 hours,Arts
Girls Who Code UIUC College Loop,Computer Science,3-5 hours,Tech
GLAM Squad,Miscellaneous,10+ hours,General
Glide to Growth,Miscellaneous,10+ hours,General
Global Empowerment for Women’s Medical Support,Miscellaneous,1-3 hours,General
Global Engineering Brigade ( GEB ),Miscellaneous,5-10 hours,Service
Global Medical Missions Alliance,Miscellaneous,3-5 hours,Service
Global Medical Training,Miscellaneous,3-5 hours,Service
Global Review at Illinois,Education,1-3 hours,General
Glory Nation Prayer City,Miscellaneous,10+ hours,General
Go Club @ UIUC,Miscellaneous,3-5 hours,Cultural
Golden Apple - Illini,Education,10+ hours,General
Good Athlete Project - UIUC,Miscellaneous,1-3 hours,Service
Gospel Fellowship,Miscellaneous,5-10 hours,General
Graduate Biomedical Engineering Society,Computer Science,1-3 hours,Tech
Graduate Employees’ Organization,Miscellaneous,10+ hours,General
"Graduate Organization of, for and by Latine Students",Miscellaneous,1-3 hours,General
Graduate Students in Ecology and Evolutionary Biology,Biology,1-3 hours,Science
Graduate Students of French and Italian,Miscellaneous,3-5 hours,General
Graduate Women in the Society of Women Engineers,Miscellaneous,5-10 hours,Service
Greek InterVarsity Christian Fellowship,Miscellaneous,5-10 hours,General
Greeks Redefined,Kinesiology,1-3 hours,Health
Grow2Give,Miscellaneous,10+ hours,General
Grupo Illini,Fine Arts,10+ hours,Arts
Guild of Unpaid Illinois Lawyer Thespians,Law,10+ hours,General
Habitat for Humanity Campus Chapter,Miscellaneous,1-3 hours,Service
Hack4Impact UIUC,Computer Science,1-3 hours,Tech
Harmony Ballet,Miscellaneous,1-3 hours,General
Harry Potter Alliance,Miscellaneous,10+ hours,Service
Healing Everything And Reaching The Soul,Miscellaneous,1-3 hours,Service
Health and Elder Law Society,Law,1-3 hours,General
Health of The Homeless,Miscellaneous,5-10 hours,General
Healthcare Book Club,Kinesiology,10+ hours,Health
Healthy Smiles,Kinesiology,1-3 hours,Health
Heart of Kindness UIUC,Miscellaneous,10+ hours,Service
Hellenic Student Association,Miscellaneous,5-10 hours,Cultural
Her Campus Illinois,Business,10+ hours,Professional
"Hermandad de Sigma Iota Alpha, Incorporada",Miscellaneous,3-5 hours,Social
Hillel Leadership Council,Miscellaneous,5-10 hours,Cultural
Hindu YUVA UIUC,Miscellaneous,3-5 hours,General
Hip-Hop Collective at UIUC,Miscellaneous,1-3 hours,General
Hip-Notic Dance Team,Fine Arts,5-10 hours,Arts
Hispanic Organization of Urban Studies and the Environment,Environmental Science,10+ hours,General
Hispanic Student Nursing Association,Miscellaneous,1-3 hours,Science
Historical European Martial Arts Urbana slash Champaign,Miscellaneous,10+ hours,General
History Graduate Student Association,Miscellaneous,3-5 hours,General
Hive Society Improv,Fine Arts,3-5 hours,Arts
HoloLab,Education,1-3 hours,General
Homebound,Miscellaneous,1-3 hours,General
Hong Kong Student Association,Miscellaneous,3-5 hours,Cultural
Horticulture Club,Agricultural Sciences,10+ hours,General
Hospitality Management Association,Education,5-10 hours,General
Hot Pot Basketball Association,Miscellaneous,5-10 hours,General
Human Development and Family Studies Graduate Student Organization,Miscellaneous,5-10 hours,General
Human Factors and Ergonomics Society at the University of Illinois Urbana-Champaign,Environmental Science,5-10 hours,General
Human Resources and Psychology Organization,Business,5-10 hours,Professional
HUMANOID ROBOTICS,Business,10+ hours,Professional
I-CAUSE,Miscellaneous,3-5 hours,General
I-Leader Academia,Business,10+ hours,Professional
Ice Skating Illini,Miscellaneous,1-3 hours,General
iDegrees Graduate Business Association,Business,1-3 hours,Professional
If slash When slash How,Kinesiology,5-10 hours,Health
IGNITE @UIUC,Miscellaneous,10+ hours,General
IlliDell of Alpha Gamma Sigma,Agricultural Sciences,5-10 hours,General
Illinakia,Miscellaneous,5-10 hours,General
Illini 4000,Miscellaneous,5-10 hours,General
Illini Art and Business Collective,Miscellaneous,10+ hours,General
Illini Automotive Group,Miscellaneous,1-3 hours,Social
Illini Autonomous Vehicles,Information Sciences,5-10 hours,Science
Illini Awaaz A Cappella,Fine Arts,5-10 hours,Arts
Illini Badminton Intercollegiate Sports Club,Miscellaneous,10+ hours,General
Illini Barbell,Miscellaneous,10+ hours,General
Illini Bass Fishing Club,Miscellaneous,10+ hours,General
Illini Bhangra,Miscellaneous,1-3 hours,Cultural
Illini Billiards Club,Miscellaneous,1-3 hours,General
Illini Blockchain,Business,3-5 hours,Professional
Illini Books to Prisoners,Miscellaneous,10+ hours,General
Illini Boxing,Miscellaneous,5-10 hours,General
Illini Brazilian Jiu Jitsu Club,Miscellaneous,5-10 hours,General
Illini Business Forum,Business,3-5 hours,Professional
Illini CHAARG,Miscellaneous,5-10 hours,General
Illini Chamber Strings ( ICS ),Fine Arts,5-10 hours,Arts
Illini Chess Club,Miscellaneous,5-10 hours,General
Illini Chinese Christian Fellowship,Miscellaneous,3-5 hours,General
Illini Crusaders,Miscellaneous,10+ hours,Social
Illini Cubers,Miscellaneous,5-10 hours,General
Illini Culinary Care Collective [ CCC ],Miscellaneous,5-10 hours,Service
Illini Cycling,Miscellaneous,10+ hours,General
Illini Dancesport,Miscellaneous,10+ hours,General
Illini Democrats,Miscellaneous,5-10 hours,General
Illini Disc Golf Club,Miscellaneous,3-5 hours,General
Illini Electric Motorsports,Computer Science,10+ hours,Tech
Illini Emerging Leaders,Miscellaneous,3-5 hours,Service
Illini Equestrians,Agricultural Sciences,1-3 hours,General
Illini Esports,Miscellaneous,10+ hours,General
Illini EV Concept,Computer Science,5-10 hours,Tech
Illini Fight Club,Miscellaneous,1-3 hours,General
Illini Fighting Alzheimer’s,Kinesiology,1-3 hours,Health
Illini Fighting Hunger,Miscellaneous,3-5 hours,Service
Illini Film and Video,Media,3-5 hours,Media
Illini Fly Fishing,Miscellaneous,5-10 hours,General
Illini Hockey Club,Miscellaneous,10+ hours,General
Illini Ice Girls,Miscellaneous,3-5 hours,General
Illini Ishaara,Fine Arts,3-5 hours,Arts
Illini Kart Racing [ IKR ],Computer Science,10+ hours,Tech
Illini Kennel Club,Miscellaneous,1-3 hours,Social
Illini Life Student Fellowship,Miscellaneous,10+ hours,General
Illini Magic Society,Fine Arts,5-10 hours,Arts
Illini Math Tournament at UIUC,Computer Science,5-10 hours,Tech
Illini Medical Screening Society,Kinesiology,5-10 hours,Health
Illini MediMech,Kinesiology,10+ hours,Health
Illini Mens’ Water Polo Club,Miscellaneous,10+ hours,General
Illini Mentor Program,Miscellaneous,3-5 hours,Service
